Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Mother and Son,1997,Aleksandr Sokurov,"['Aleksei Ananishnov', 'Gudrun Geyer']",3.94,nan,['Drama'],73,"['Germany', 'Russian Federation']",Russian,['Russian'],"['Severny Fond', 'Zero Film GmbH', 'Lenfilm', 'Ö-Filmproduktion']",8186,8286,2134,49,34,37,43,159,198,537,709,1350,658,798,4523,https://letterboxd.com/film/mother-and-son/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
Funny Games,1997,Michael Haneke,"['Ulrich Mühe', 'Susanne Lothar', 'Arno Frisch', 'Frank Giering', 'Stefan Clapczynski', 'Doris Kunstmann', 'Christoph Bantzer', 'Wolfgang Glück', 'Susanne Meneghel', 'Monika Zallinger']",3.95,nan,"['Thriller', 'Horror', 'Drama']",109,['Austria'],German,['German'],"['Wega Film Vienna', 'Filmfonds Wien', 'ORF']",265186,80087,74718,3100,1251,1769,1349,4457,5193,18093,27531,60783,28615,27036,176077,https://letterboxd.com/film/funny-games/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
L.A. Confidential,1997,Curtis Hanson,"['Russell Crowe', 'Guy Pearce', 'Kevin Spacey', 'Kim Basinger', 'Danny DeVito', 'James Cromwell', 'David Strathairn', 'Ron Rifkin', 'Matt McCoy', 'Paul Guilfoyle', 'Paolo Seganti', 'Elisabeth Granli', 'Sandra Taylor', 'Steve Rankin', 'Graham Beckel', 'Allan Graf', 'Precious Chong', 'Symba', 'Bob Clendenin', 'Lennie Loftin', 'Will Zahrn', 'Amber Smith', 'Darrell Sandeen', 'Michael Warwick', 'Simon Baker', 'Shawnee Free Jones', 'Matthew Allen Bretz', 'Thomas Rosales Jr.', 'Shane Dixon', 'Norman Howell', 'Brian Lally', 'Don Pulford', 'Chris Short', 'John Mahon', 'Tomas Arana', 'Michael McCleery', 'George Yager', 'Jack Conley', 'Ginger Slaughter', 'Jack Knight', 'John H. Evans', 'Gene Wolande', 'Brian Bossetta', 'Michael Chieffo', 'Gwenda Deacon', 'T.J. Kennedy', 'Ingo Neuhaus', 'Robert Harrison', 'Jim Metzler', 'Robert Barry Fleming', 'Jeremiah Birkett', 'Salim Grant', 'Karr Washington', 'Noel Evangelisti', 'Marisol Padilla Sánchez', 'Jeff Sanders', 'Steven Lambert', 'Jordan Marder', 'Gregory White', 'April Breneman', 'Lisa Worthy', 'Beverly Sharpe', 'Colin Mitchell', 'John Slade', 'Brenda Bakke', 'Kevin Maloney', 'Patrice Walters', 'Rebecca Klingler', 'Irene Roseen', 'Scott Eberlein', 'David St. James', 'Bodie Newcomb', 'Jeff Austin', 'Robert Foster', 'Kevin Patrick Kelly', 'Henry Marder', 'Monty McKee', 'Henry Meyers', 'Michael Ossmann', 'Dick Stilwell', 'Jess Thomas', 'Robert Thompson', 'Jody Wood', 'Jimmy Ortega', 'Nectar Rose', 'Rocco Salata', 'Dell Yount', 'Scott McKinley', 'Gilbert Rosales', 'J.P. Romano', 'Chris Palermo', 'April Audia', 'Priscilla Cory', 'Fred Lerner', 'Anne Zogby']",4.07,4,"['Mystery', 'Crime', 'Thriller']",138,['USA'],English,['English'],"['Regency Enterprises', 'Warner Bros. Pictures', 'The Wolper Organization']",365069,71878,92639,1700,205,732,678,3484,4995,22673,38663,86312,42393,31898,232033,https://letterboxd.com/film/la-confidential/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
The Sweet Hereafter,1997,Atom Egoyan,"['Ian Holm', 'Sarah Polley', 'Tom McCamus', 'Gabrielle Rose', 'Alberta Watson', 'Caerthan Banks', 'Maury Chaykin', 'Stephanie Morgenstern', 'Kirsten Kieferle', 'Arsinée Khanjian', 'Earl Pastko', 'Simon Baker', 'David Hemblen', 'Bruce Greenwood', 'Sarah Rosen Fruitman', 'Marc Donato', 'Devon Finn', 'Fides Krucker', 'Magdalena Sokolowski', 'James D. Watts', 'Brooke Johnson', 'Allegra Denton', 'Peter Donaldson', 'Russell Banks', 'Mychael Danna']",3.87,nan,['Drama'],112,['Canada'],English,['English'],"['Fine Line Features', 'Ego Film Arts', 'Alliance Films']",27133,15370,5898,117,38,86,102,437,653,2202,3216,5524,2510,1819,16587,https://letterboxd.com/film/the-sweet-hereafter/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
Taste of Cherry,1997,Abbas Kiarostami,"['Homayoun Ershadi', 'Abdolrahman Bagheri', 'Afshin Khorshid Bakhtiari', 'Safar Ali Moradi', 'Mir Hossein Noori', 'Elham Imani', 'Ahmad Ansari']",4.31,4,['Drama'],99,"['France', 'Iran']",Persian (Farsi),['Persian (Farsi)'],"['Kanoon', 'Abbas Kiarostami Productions', 'CiBy 2000']",140513,60367,55378,4900,172,377,343,1129,1540,5835,10238,28772,21660,29002,99068,https://letterboxd.com/film/taste-of-cherry/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
Happy Together,1997,Wong Kar-wai,"['Leslie Cheung', 'Tony Leung Chiu-wai', 'Chang Chen', 'Gregory Dayton']",4.22,nan,"['Romance', 'Drama']",96,"['Argentina', 'Hong Kong', 'Japan']",Cantonese,"['Cantonese', 'Spanish']","['Jet Tone Production', 'Block 2 Pictures', 'Prénom H Co. Ltd.']",190032,75184,76935,6500,138,237,248,1161,1829,8483,16487,45041,27183,34621,135428,https://letterboxd.com/film/happy-together-1997/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
Princess Mononoke,1997,Hayao Miyazaki,"['Youji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Kaoru Kobayashi', 'Masahiko Nishimura', 'Tsunehiko Kamijô', 'Akihiro Miwa', 'Mitsuko Mori', 'Hisaya Morishige', 'Sumi Shimamoto', 'Tetsu Watanabe', 'Makoto Satō', 'Akira Nagoya', 'Kei Iinuma', 'Yayoi Kazuki', 'Kimihiro Reizei', 'Yoshimasa Kondo', 'Akira Sakamoto', 'Shirô Saitô', 'Daikichi Sugawara', 'Takako Katou', 'Ikuko Yamamoto', 'Kiho Iinuma']",4.37,nan,"['Adventure', 'Fantasy', 'Animation']",134,['Japan'],Japanese,['Japanese'],"['Studio Ghibli', 'Nibariki', 'dentsu Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu']",1125555,203465,448481,34000,445,1136,894,5552,6856,39620,58774,188125,134986,278038,714426,https://letterboxd.com/film/princess-mononoke/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
The Butcher Boy,1997,Neil Jordan,"['Eamonn Owens', 'Alan Boyle', 'Fiona Shaw', 'Stephen Rea', 'Ian Hart', 'Peter Gowen', 'Sean McGinley', ""Aisling O'Sullivan"", 'John Kavanagh', 'Andrew Fullerton', 'Rosaleen Linehan', 'Anita Reeves', ""Sinéad O'Connor"", 'Brendan Gleeson', 'Milo O’Shea', 'Niall Buggy', ""Ardal O'Hanlon"", 'Tom Hickey', 'Gina Moxley', 'Joe Pilkington', ""Anne O'Neill"", 'John Olohan', 'Mikel Murfi', 'Brendan Conroy', ""Jer O'Leary"", 'Pat Leavy', 'Janet Moran', 'Paraic Breathnach', 'Gregg Fitzgerald', 'John Finegan', 'Gavin Kelty', 'Eoin Chaney', 'Tony Rohr', 'Dermot Healy', 'Sean Hughes', 'Gerard McSorley', 'Birdy Sweeney', 'Ronan Wilmot', 'Pat McCabe', 'Marie Mullen', 'Macdara Ó Fátharta', 'Stuart Graham', 'Vinnie McCabe', 'Áine McEneaney', 'Siobhan McElvaney', 'Paolo Tullio', 'Ciarán Owens', ""Shane O'Connor""]",3.62,nan,"['Drama', 'Comedy']",110,['Ireland'],English,"['English', 'Irish']","['Geffen Pictures', 'Warner Bros. Pictures']",7080,5350,1279,26,12,36,52,162,221,758,955,1169,327,277,3969,https://letterboxd.com/film/the-butcher-boy-1997/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
Fireworks,1997,Takeshi Kitano,"['Takeshi Kitano', 'Kayoko Kishimoto', 'Ren Osugi', 'Susumu Terajima', 'Tetsu Watanabe', 'Hakuryu', 'Yasuei Yakushiji', 'Tarô Itsumi', ""Ken'ichi Yajima"", 'Makoto Ashikawa', 'Yuko Daike', 'Tsumami Edamame', 'Yûrei Yanagi', 'Sujitarô Tamabukuro', 'Tokio Seki', 'Motoharu Tamura', 'Hitoshi Nishizawa', 'Hiromi Kikai', 'Shoko Kitano', 'Yoshiyuki Morishita', 'Junichiro Asano', 'Kazuhiro Osada', 'Manzō Shinra', 'Tetsu Sakuma', 'Riba Matsumi', 'Miki Fujitani', 'Keiko Yamamoto', 'Kiyoko Kitazawa', 'Ai Kishina', 'Banri Nakamura', 'Masahiro Naya', 'Takayuki Konishi', 'Yûzô Yada', 'Kanji Tsuda', 'Yôichi Nagai', 'Kôsuke Ôta', 'Muhômatsu', 'Omiya no Matsu', 'Shiyô Kosuga', 'Gambino Kobayashi', 'Al Kitago', 'Yûji Aikawa', 'Hiroshi Umeda', 'Kenji Yamagami', 'Tomoya Naitô', 'Katsuya Takamatsu', 'Yasufumi Sakamaki', 'Atsushi Ito', 'Mitsuyo Ishigaki', 'Ayako Masuya', 'Sumiko Takai', 'Mariko Chiba', 'Miho Kitahara', 'Yoshiko Andô', 'Kaoru Sugiyama', 'Kikuo Itô', 'Shûji Ôtsuki', 'Hidetoshi Kawaya', 'Koichiro Hama', 'Masaru Takahashi', 'Ritsuyo Ono', 'Yôko Imamoto', 'Kiyoko Negishi', 'Saki Kaneko', 'Kaoru Tomoe', 'Ayu Nakagawa', 'Maiko Watanabe', 'Kazue Fujita', 'Yuki Iida', 'Rieko Motohashi', 'Ryôta Koyama', 'Takao Toji', 'Matsumi Fuku']",4.16,nan,"['Drama', 'Crime']",103,['Japan'],Japanese,['Japanese'],"['Bandai Visual', 'Office Kitano', 'TV Tokyo', 'Tokyo FM']",61801,27500,21440,1800,36,112,142,527,930,3253,5750,13585,8217,9074,41626,https://letterboxd.com/film/fireworks-1997/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
Boogie Nights,1997,Paul Thomas Anderson,"['Mark Wahlberg', 'Julianne Moore', 'Burt Reynolds', 'Don Cheadle', 'John C. Reilly', 'William H. Macy', 'Heather Graham', 'Nicole Ari Parker', 'Philip Seymour Hoffman', 'Luis Guzmán', 'Philip Baker Hall', 'Thomas Jane', 'Robert Ridgely', 'Robert Downey Sr.', 'Nina Hartley', 'Melora Walters', 'Alfred Molina', 'Ricky Jay', 'Laurel Holloman', 'Michael Penn', 'Michael Jace', 'Jack Wallace', 'Kai Lennox', 'Jonathan Quint', 'John Doe', 'Joanna Gleason', 'Lawrence Hudd', 'Rico Bueno', 'Samson Barkhordarian', 'Brad Braeden', 'Michael Stein', 'Stanley DeSantis', 'Patricia Forte', 'Jason Andrews', 'Little Cinderella', 'Greg Lauren', 'Tom Dorfmeister', 'Jake Cross', 'Selwyn Emerson Miller', 'Jamielyn Lippman', 'Missy Spell Tanner', 'Raymond Laboriel', 'Jon Brion', 'Brian Kehew', 'Robin Sharp', 'Audrey Wiechman', 'Tim Soronen', 'Alexander D. Slanger', 'Tom Lenk', 'Lexi Leigh', 'Laura Gronewold', 'Vernon Guichard II', 'Tony Tedeschi', 'Leslie Redden', 'Gregory T. Daniel', 'Don Amendolia', 'Summer Cummings', 'Skye Blue', 'Veronica Hart', 'Jack Riley', 'Channon Roe', 'Mike Gunther', 'Michael Raye Smith', 'Michael S. Stencil', 'Dustin Courtney', 'Allan Graf', 'Jose Chaidez', 'B. Philly Johnson', 'Joe G.M. Chan', 'Goliath', 'Israel Juarbe', 'George Anthony Rae', 'Eric Winzenried', 'Sharon Ferrol-Young', 'Anne Fletcher', 'Scott Fowler', 'Melanie A. Gage', 'Eddie Garcia', 'Sebastian La Cause', 'Lance MacDonald', 'Diane Mizota', 'Nathan Prevost', 'Lisa Ratzin', 'Dee Dee Weathers', 'Darrel W. Wright', 'Michael Ballhaus', 'Greg Bronson', 'Grace Bustos', 'Jorga Caye', 'Tyrone D. Dixon', 'Theo Mayes', 'Coleman McClary', 'Jami Philbrick', 'Aaron Stielstra', 'Misty Tamburelli', 'Sean Welch']",4.22,nan,['Drama'],156,['USA'],English,['English'],"['New Line Cinema', 'Lawrence Gordon Productions']",536406,139331,174568,8400,558,1201,892,4819,5494,26462,39772,110235,77216,85510,352159,https://letterboxd.com/film/boogie-nights/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
"Fast, Cheap & Out of Control",1997,Errol Morris,"['Dave Hoover', 'George Mendonça', 'Raymond A. Mendez', 'Rodney Brooks']",3.7,nan,['Documentary'],83,['USA'],English,['English'],"['American Playhouse', 'Errol Morris Films', 'Fourth Floor Pictures']",5748,4863,1048,24,6,16,14,109,159,585,689,870,272,314,3034,https://letterboxd.com/film/fast-cheap-out-of-control/,https://letterboxd.com//peterstanley/list/1001-movies-you-must-see-before-you-die/page/10/
