Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
A Trip to the Moon,1902,Georges Méliès,"['Georges Méliès', 'Bleuette Bernon', 'François Lallement', 'Henri Delannoy', 'Victor André', 'Brunnet', 'Depierre', 'Farjaut', 'Kelm', ""Jehanne d'Alcy"", 'Jules-Eugène Legris']",3.99,nan,"['Science Fiction', 'Adventure']",15,['France'],No spoken language,['No spoken language'],['Star-Film'],365125,45140,78384,326,544,1097,743,3567,4246,21891,20919,57768,13776,38332,162883,https://letterboxd.com/film/a-trip-to-the-moon/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Great Train Robbery,1903,Edwin S. Porter,"['Gilbert M. Anderson', 'John Manus Dougherty Sr.', 'Frank Hanaway', 'Adam Charles Hayman', 'Robert Milasch', 'Marie Murray', 'Mary Snow', 'A.C. Abadie', 'Walter Cameron', 'Donald Gallaher', 'Shadrack E. Graham', 'George Barnes', 'Morgan Jones', 'Justus D. Barnes']",3.54,nan,"['Crime', 'Action', 'Western', 'Adventure']",12,['USA'],No spoken language,['No spoken language'],['Edison Studios'],101668,17757,14266,16,118,376,347,1649,2470,11120,8714,9671,1667,3515,39647,https://letterboxd.com/film/the-great-train-robbery/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Birth of a Nation,1915,D.W. Griffith,"['Henry B. Walthall', 'Lillian Gish', 'Miriam Cooper', 'Mae Marsh', 'Mary Alden', 'Ralph Lewis', 'George Siegmann', 'Walter Long', 'Joseph Henabery', 'Wallace Reid', 'Elmer Clifton', 'Josephine Crowell', 'Spottiswoode Aitken', 'George Beranger', 'Maxfield Stanley', 'Jennie Lee', 'Donald Crisp', 'Howard Gaye', 'Sam De Grasse', 'William De Vaull', 'Willam Freeman', 'Tom Wilson', 'Fred Burns', 'Allan Sears', 'Elmo Lincoln', 'Madame Sul-Te-Wan', 'Raoul Walsh', 'Robert Harron', 'Monte Blue', 'Harry Braham', 'Bob Burns', 'Edmund Burns', 'Edward Burns', 'Peggy Cartwright', 'Dark Cloud', 'Leonore Cooper', 'Charles Eagle Eye', 'John Ford', 'Olga Grey', 'Alberta Lee', 'Betty Marsh', 'Donna Montran', 'Eugene Pallette', 'Alma Rubens', 'Charles Stevens', 'Jules White', 'Violet Wilkey', 'David Butler']",2.36,nan,"['Drama', 'History', 'War']",193,['USA'],No spoken language,['No spoken language'],['Epoch Film Co.'],59918,22510,2958,67,6338,3296,1258,2756,2198,3523,1957,2492,754,1455,26027,https://letterboxd.com/film/the-birth-of-a-nation/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
"The Vampires or, The Arch Criminals of Paris",1915,Louis Feuillade,"['Jean Aymé', 'Édouard Mathé', 'Marcel Lévesque', 'Théodore Thalès', 'Rita Herlor', 'Florense Simoni', 'Stacia Napierkowska', 'Louis Leubas', 'Musidora', 'Fernand Herrmann', 'Paula Maxa', 'Émile Keppens', 'Breon', 'Gaston Michel', 'René Poyen', 'Frédéric Moriss', 'Jeanne Marie-Laurent', 'Louise Lagrange', 'Suzanne Le Bret', 'Germaine Rouer', 'Faraboni', 'Georgette Faraboni']",3.86,nan,"['Drama', 'Thriller']",422,['France'],No spoken language,['No spoken language'],['Gaumont'],13283,12391,3499,44,22,48,51,185,274,1040,1216,2063,882,1089,6870,https://letterboxd.com/film/the-vampires-or-the-arch-criminals-of-paris/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Intolerance: Love's Struggle Throughout the Ages,1916,D.W. Griffith,"['Lillian Gish', 'Mae Marsh', 'Robert Harron', 'F.A. Turner', 'Sam De Grasse', 'Vera Lewis', 'Lillian Langdon', 'Olga Grey', 'Erich von Ritzau', 'Bessie Love', 'Margery Wilson', 'Eugene Pallette', 'Spottiswoode Aitken', 'Ruth Handforth', 'Elmer Clifton', 'Seena Owen', 'Carl Stockdale', 'Mary Alden', 'Pearl Elmore', 'Julia Mackley', 'Miriam Cooper', 'Walter Long', 'Tom Wilson', 'Ralph Lewis', 'Lloyd Ingraham', 'John P. McCarthy', 'Monte Blue', 'Marguerite Marsh', 'Edward Dillon', 'Billy Quirk', 'Howard Gaye', 'William H. Brown', 'George Walsh', 'W.S. Van Dyke', 'Allan Sears', 'Frank Bennett', 'Maxfield Stanley', 'Josephine Crowell', 'Constance  Talmadge', 'W.E. Lawrence', 'Joseph Henabery', 'Chandler House', 'Alfred Paget', 'Tully Marshall', 'Dore Davidson', 'Taylor N. Duncan', 'Owen Moore', 'Frank Borzage', 'Karl Brown', 'Frank Campeau', 'Constance Collier', 'Donald Crisp', 'Nigel De Brulier', 'Clarence Geldart', 'Dell Henderson', 'Russell Hicks', 'DeWolf Hopper Sr.', 'Wilfred Lucas', 'Francis McDonald', 'Vester Pegg', 'Herbert Sutch', 'Herbert Beerbohm Tree', 'King Vidor', 'Hal Wilson', 'Tammany Young', 'Sylvia Ashton', 'Jennie Lee', 'George Beranger', 'Kitty Bradbury', 'Tod Browning', 'Frank Brownlee', 'Kate Bruce', 'Edward Burns', 'Noble Johnson', 'George Fawcett', 'Jewel Carmen', 'Carol Dempster', 'Mildred Harris', 'Daisy Jefferson', 'Carmel Myers', 'Eve Southern', 'Pauline Starke', 'Natalie Talmadge', 'Ethel Grey Terry', 'Francis Carpenter', 'Virginia Lee Corbin', 'Peggy Cartwright', 'Gino Corrado', 'William Courtright', 'Erich von Stroheim', 'Max Davidson', 'Douglas Fairbanks', 'Julia Faye', 'Clyde E. Hopkins', 'Alberta Lee', 'Elmo Lincoln', ""Loyola O'Connor"", 'Wallace Reid', 'Alma Rubens', 'Madame Sul-Te-Wan', 'Ruth Darling', 'George Siegmann', 'Raymond Wells', 'Winifred Westover', 'David Butler']",3.68,nan,"['History', 'Drama']",197,['USA'],No spoken language,['No spoken language'],"['Triangle Film Corporation', 'Wark Producing Corp.']",29680,24951,4774,78,213,347,300,1011,933,2368,2278,3490,1744,2720,15404,https://letterboxd.com/film/intolerance-loves-struggle-throughout-the-ages/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Broken Blossoms,1919,D.W. Griffith,"['Lillian Gish', 'Richard Barthelmess', 'Donald Crisp', 'Arthur Howard', 'Edward Peil Sr.', 'George Beranger', 'Norman Selby']",3.45,nan,"['Romance', 'Drama']",89,['USA'],English,"['English', 'No spoken language']","['D.W. Griffith Productions', 'United Artists']",20071,13761,3048,14,184,268,252,752,934,2252,2045,2325,802,853,10667,https://letterboxd.com/film/broken-blossoms-1919/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Within Our Gates,1920,Oscar Micheaux,"['Evelyn Preer', 'Flo Clements', 'James D. Ruffin', 'Jack Chenault', 'Charles D. Lucas', 'Bernice Ladd', 'Mrs. Evelyn', 'William Starks', 'Mattie Edwards', 'E.G. Tatum', 'Grant Edwards', 'Grant Gorman', 'William Smith', 'Ralph Johnson', 'Leigh Whipper', 'Jimmie Cook', 'S.T. Jacks']",3.44,nan,"['Romance', 'Drama', 'Crime']",74,['USA'],No spoken language,['No spoken language'],['Micheaux Book & Film Company'],13883,9818,2589,6,27,97,115,401,652,2106,1788,1830,419,371,7806,https://letterboxd.com/film/within-our-gates/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Cabinet of Dr. Caligari,1920,Robert Wiene,"['Werner Krauß', 'Conrad Veidt', 'Friedrich Fehér', 'Lil Dagover', 'Hans Heinrich von Twardowski', 'Rudolf Lettinger', 'Henri Peters-Arnolds', 'Rudolf Klein-Rogge', 'Hans Lanser-Rudolf', 'Ludwig Rex', 'Elsa Wagner']",4.07,4,"['Crime', 'Drama', 'Thriller', 'Horror']",78,['Germany'],No spoken language,['No spoken language'],['Decla Film Gesellschaft Holz & Co.'],229063,82380,66117,1800,275,551,526,2278,2968,13264,18191,45921,19122,29583,132679,https://letterboxd.com/film/the-cabinet-of-dr-caligari-1920/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Way Down East,1920,D.W. Griffith,"['Lillian Gish', 'Richard Barthelmess', 'Lowell Sherman', 'Burr McIntosh', 'Kate Bruce', 'Mrs. David Landau', 'Josephine Bernard', 'Mrs. Morgan Belmont', 'Patricia Fruen', 'Florence Short', 'Vivia Ogden', 'Porter Strong', 'George Neville', 'Edgar Nelson', 'Mary Hay', 'Creighton Hale', 'Emily Fitzroy', 'Carol Dempster', 'Louise Lawson', 'Athole Shearer', 'Edith Shearer', 'Norma Shearer', 'Frank Walsh']",3.65,nan,"['Romance', 'Drama']",150,['USA'],No spoken language,['No spoken language'],"['D.W. Griffith Productions', 'United Artists']",7616,7027,1411,17,17,48,57,216,274,763,906,1083,390,417,4171,https://letterboxd.com/film/way-down-east/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Phantom Carriage,1921,Victor Sjöström,"['Victor Sjöström', 'Hilda Borgström', 'Tore Svennberg', 'Astrid Holm', 'Concordia Selander', 'Lisa Lundholm', 'Tor Weijden', 'Einar Axelsson', 'Olof Ås', 'Nils Aréhn', 'Simon Lindstrand', 'Nils Elffors', 'Algot Gunnarsson', 'Hildur Lithman', 'John Ekman', 'Edvin Adolphson', 'Elof Ahrle', 'Emmy Albiin', 'Anna-Lisa Baude', 'Josua Bengtson', 'Helga Brofeldt', 'Julia Cæsar', 'Mona Geijer-Falkner', 'Carl Harald', 'Arthur Natorp', 'Fridolf Rhudin', 'Signe Wirff']",4.07,nan,"['Fantasy', 'Drama', 'Horror']",106,['Sweden'],No spoken language,['No spoken language'],['SF Studios'],36987,30761,10490,156,28,66,94,385,516,2325,3405,7602,4198,4322,22941,https://letterboxd.com/film/the-phantom-carriage/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Orphans of the Storm,1921,D.W. Griffith,"['Lillian Gish', 'Dorothy Gish', 'Joseph Schildkraut', 'Creighton Hale', 'Monte Blue', 'Sidney Herbert', 'Lucille La Verne', 'Sheldon Lewis', 'Frank Puglia', 'Morgan Wallace', 'Frank Losee', 'Leslie King', 'Katherine Emmet', 'Flora Finch', 'Louis Wolheim', 'Marcia Harris', 'Lee Kohlmar', 'Kate Bruce', 'Adolph Lestina']",3.55,nan,"['Drama', 'History', 'Romance']",150,['USA'],No spoken language,['No spoken language'],['D.W. Griffith Productions'],5261,6199,767,3,17,46,54,163,214,623,671,678,234,212,2912,https://letterboxd.com/film/orphans-of-the-storm/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Foolish Wives,1922,Erich von Stroheim,"['Erich von Stroheim', 'Rudolph Christians', 'Miss DuPont', 'Maude George', 'Mae Busch', 'Dale Fuller', 'Cesare Gravina', 'Malvina Polo', 'Albert Edmondson', 'Mary Philbin', 'Nigel De Brulier', 'C.J. Allen', 'Robert Edeson', 'Agnes Emerson', 'Louise Emmons', 'Harrison Ford', 'Mrs. Kent', 'Edward Reinach', 'Louis K. Webb']",3.65,nan,"['Drama', 'Thriller']",143,['USA'],No spoken language,['No spoken language'],['Universal Film Manufacturing Company'],7180,8458,1422,10,18,30,57,204,285,771,863,1040,398,400,4066,https://letterboxd.com/film/foolish-wives/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Nosferatu,1922,F. W. Murnau,"['Max Schreck', 'Gustav von Wangenheim', 'Greta Schröder', 'Georg H. Schnell', 'Ruth Landshoff', 'Gustav Botz', 'Alexander Granach', 'John Gottowt', 'Max Nemetz', 'Wolfgang Heinz', 'Albert Venohr', 'Eric van Viele', 'Karl Etlinger', 'Guido Herzfeld', 'Hans Lanser-Rudolf', 'Loni Nest', 'Josef Sareny', 'Fanny Schreck', 'Hardy von Francois', 'Heinrich Witte']",3.89,3.5,['Horror'],95,['Germany'],No spoken language,['No spoken language'],"['Prana-Film GmbH', 'Jofa-Atelier Berlin-Johannisthal']",280346,98499,72938,1300,342,934,840,3970,5372,23154,26663,53457,17194,28668,160594,https://letterboxd.com/film/nosferatu/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
"Dr. Mabuse, the Gambler",1922,Fritz Lang,"['Rudolf Klein-Rogge', 'Aud Egede-Nissen', 'Gertrude Welcker', 'Alfred Abel', 'Bernhard Goetzke', 'Paul Richter', 'Robert Forster-Larrinaga', 'Hans Adalbert Schlettow', 'Georg John', 'Károly Huszár', 'Grete Berger', 'Julius Falkenstein', 'Lydia Potechina', 'Julius E. Herrmann', 'Julietta Brandt', 'Max Adalbert', 'Anita Berber', 'Paul Biensfeldt', 'Gustav Botz', 'Lil Dagover', 'Heinrich Gotho', 'Leonhard Haskel', 'Erner Huebsch', 'Gottfried Huppertz', 'Hans Junkermann', 'Adolf Klein', 'Erich Pabst', 'Edgar Pauly', 'Karl Platen', 'Auguste Prasch-Grevenberg', 'Adele Sandrock', 'Willy Schmidt-Gentner', 'Hans Sternberg', 'Olaf Storm', 'Oscar Stribolt', 'Erich Walter']",3.95,3,"['Crime', 'Thriller']",271,['Germany'],No spoken language,['No spoken language'],['Uco-Film GmbH'],15186,16267,3470,48,11,40,50,170,238,966,1469,2994,1298,1297,8533,https://letterboxd.com/film/dr-mabuse-the-gambler/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Nanook of the North,1922,Robert Flaherty,"['Allakariallak', 'Alice Nevalinga', 'Cunayou', 'Allegoo', 'Allee', 'Berry Kroeger']",3.56,nan,"['Documentary', 'Drama']",79,"['USA', 'France']",No spoken language,['No spoken language'],['Les Frères Revillon'],43429,18940,6124,13,145,254,226,1045,1404,4728,4318,5176,1272,1604,20172,https://letterboxd.com/film/nanook-of-the-north/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Häxan,1922,Benjamin Christensen,"['Benjamin Christensen', 'Ella La Cour', 'Emmy Schønfeld', 'Kate Fabian', 'Oscar Stribolt', 'Wilhelmine Henriksen', 'Elisabeth Christensen', 'Astrid Holm', 'Karen Winther', 'Maren Pedersen', 'Johannes Andersen', 'Elith Pio', 'Aage Hertel', 'Ib Schønberg', 'Holst Jørgensen', 'Clara Pontoppidan', 'Else Vermehren', ""Alice O'Fredericks"", 'Gerda Madsen', 'Karina Bell', 'Tora Teje', 'Poul Reumert', 'H.C. Nielsen', 'Albrecht Schmidt', 'Knud Rassow', 'Ellen Rassow', 'Frederik Christensen', 'Henry Seemann', 'Karen Caspersen', 'Holger Pedersen', 'John Andersen']",3.99,3.5,"['Documentary', 'Horror', 'History']",105,['Sweden'],No spoken language,['No spoken language'],"['Aljosha Production Company', 'SF Studios']",56848,41983,18063,269,47,138,147,623,928,4169,5913,12484,5170,6110,35729,https://letterboxd.com/film/haxan/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
La Roue,1923,Abel Gance,"['Séverin-Mars', 'Ivy Close', 'Gabriel de Gravone', 'Pierre Magnier', 'Max Maxudian', 'Georges Térof', 'Gil Clary', 'Abel Gance']",3.92,nan,['Drama'],418,['France'],No spoken language,['No spoken language'],['Films Abel Gance'],5081,7706,1203,20,13,25,24,80,114,371,450,773,486,480,2816,https://letterboxd.com/film/la-roue/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Our Hospitality,1923,"Buster Keaton, John G. Blystone","['Buster Keaton', 'Joe Roberts', 'Natalie Talmadge', 'Francis X. Bushman Jr.', 'Craig Ward', 'Joe Keaton', 'Kitty Bradbury', 'Buster Keaton Jr.', 'Erwin Connelly', 'Edward Coxen', 'Jack Duffy', 'Tom London', 'Monte Collins Sr.']",3.87,nan,"['Comedy', 'Romance']",73,['USA'],No spoken language,['No spoken language'],['Joseph M. Schenck Productions'],23566,14302,5715,26,9,23,40,205,369,1878,3352,5356,1600,1440,14272,https://letterboxd.com/film/our-hospitality/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Smiling Madame Beudet,1923,Germaine Dulac,"['Germaine Dermoz', 'Alexandre Arquillière', ""Jean d'Yd"", 'Yvette Grisier', 'Madeleine Guitty', 'Raoul Paoli', 'Armand Thirard']",3.45,nan,['Drama'],42,['France'],No spoken language,['No spoken language'],['Colisée Films'],9475,7031,1503,6,24,71,86,275,435,1360,1235,1102,255,226,5069,https://letterboxd.com/film/the-smiling-madame-beudet/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Thief of Bagdad,1924,Raoul Walsh,"['Douglas Fairbanks', 'Snitz Edwards', 'Charles Belcher', 'Julanne Johnston', 'Sôjin Kamiyama', 'Anna May Wong', 'Brandon Hurst', 'Tote Du Crow', 'Noble Johnson', 'Sam Baker', 'Laska Winter', 'Etta Lee', 'Mathilde Comont', 'Charles Stevens', 'Eugene Jackson', 'Jesse Lasky Jr.', 'David Sharpe', 'Paul Malvern', 'Scotty Mattraw', 'Jess Weldon', 'K. Nambu']",3.79,nan,"['Fantasy', 'Romance', 'Adventure']",149,['USA'],No spoken language,['No spoken language'],['Douglas Fairbanks Pictures'],10428,9234,2111,14,15,23,41,151,240,908,1171,1850,631,595,5625,https://letterboxd.com/film/the-thief-of-bagdad/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
"Sherlock, Jr.",1924,Buster Keaton,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly', 'Ward Crane', 'Doris Deane', 'Christine Francis', 'George Davis', 'Kewpie Morgan', 'Steve Murphy', 'John Patrick', 'Betsy Ann Hisle', 'Ford West']",4.37,nan,"['Action', 'Comedy', 'Mystery']",45,['USA'],No spoken language,['No spoken language'],['Metro Pictures Corporation'],111702,48703,38744,737,46,116,119,497,805,4114,7390,21723,15130,21465,71405,https://letterboxd.com/film/sherlock-jr/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Great White Silence,1922,Herbert G. Ponting,"['Robert Falcon Scott', 'Herbert G. Ponting', 'Henry R. Bowers', 'Edgar Evans', 'Lawrence E.G. Oates', 'Edward Adrian Wilson']",3.98,nan,['Documentary'],108,['UK'],No spoken language,['No spoken language'],['Gaumont-British Picture Corporation'],4646,5723,1188,9,13,10,9,44,80,257,486,1050,452,345,2746,https://letterboxd.com/film/the-great-white-silence/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Greed,1924,Erich von Stroheim,"['Gibson Gowland', 'Zasu Pitts', 'Jean Hersholt', 'Dale Fuller', 'Tempe Pigott', 'Sylvia Ashton', 'Chester Conklin', 'Joan Standing', 'Jack Curtis', 'James F. Fulton', 'Florence Gibson', 'Cesare Gravina', 'Frank Hayes', 'Austen Jewell', 'Tiny Jones', 'Lillian Lawrence', 'Hughie Mack', 'Jack McDonald', 'Fanny Midgley', 'Lon Poff', 'S.S. Simon', 'Erich von Ritzau', 'Erich von Stroheim', 'James Wang']",4.02,nan,"['Crime', 'Drama']",140,['USA'],No spoken language,['No spoken language'],['Metro-Goldwyn-Mayer'],15803,20552,3577,56,22,71,62,196,272,868,1151,2437,1383,2004,8466,https://letterboxd.com/film/greed/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Last Laugh,1924,F. W. Murnau,"['Emil Jannings', 'Maly Delschaft', 'Max Hiller', 'Hans Unterkircher', 'Hermann Vallentin', 'Emilie Kurz', 'Georg John', 'Emmy Wyda', 'Harald Madsen', 'Carl Schenstrøm', 'Olaf Storm', 'O.E. Hasse', 'Neumann-Schüler', 'Erich Schönfelder']",4.02,nan,['Drama'],90,['Germany'],No spoken language,['No spoken language'],['UFA'],29649,21160,7344,138,42,78,107,327,511,1787,2695,5251,3059,3299,17156,https://letterboxd.com/film/the-last-laugh/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Seven Chances,1925,Buster Keaton,"['Buster Keaton', 'T. Roy Barnes', 'Snitz Edwards', 'Ruth Dwyer', 'Frances Raymond', 'Erwin Connelly', 'Jules Cowles', 'Jean Arthur', 'Rosalind Byrne', 'Constance  Talmadge', 'Lori Bara', 'Bartine Burkett', 'Louise Carver', 'Doris Deane', 'Hazel Deane', 'Eugenia Gilbert', 'Rosa Gore', 'Jean C. Havez', 'Judy King', 'Kate Price', 'Julian Rivero', 'S.D. Wilcox']",3.89,nan,"['Comedy', 'Romance']",56,['USA'],No spoken language,['No spoken language'],['Buster Keaton Productions'],22750,12203,5537,27,29,31,57,239,427,1729,3060,5035,1925,1345,13877,https://letterboxd.com/film/seven-chances/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Phantom of the Opera,1925,Rupert Julian,"['Lon Chaney', 'Norman Kerry', 'Mary Philbin', 'Arthur Edmund Carewe', 'Gibson Gowland', 'Snitz Edwards', 'John St. Polis', 'Virginia Pearson', 'Olive Ann Alcorn', 'Betty Van Allen', 'Betty Arthur', 'Joseph Belmont', 'Alexander Bevani', 'Earl Gordon Bostwick', 'Ethel Broadhurst', 'Edward Cecil', 'Ruth Clifford', 'Chester Conklin', 'Roy Coulson', 'Bruce Covington', 'Ward Crane', 'George Davis', 'Madame Fiorenza', 'Alan George', 'Cesare Gravina', 'William Humphrey', 'Carla Laemmle', 'Grace Marvin', 'John Miljan', 'Edith Murgatroyd', 'Templar Saxe', 'Bernard Siegel', 'William Tyroler', 'Vola Vale', 'Ellinor Vanderveer', 'Anton Vaverka', 'Josephine Haynes Webster', 'George B. Williams', 'Ed Wolff']",3.72,nan,"['Drama', 'Horror']",107,['USA'],No spoken language,['No spoken language'],['Universal Pictures'],38124,25710,9164,118,37,86,113,530,979,4001,4959,6947,1956,2612,22220,https://letterboxd.com/film/the-phantom-of-the-opera/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Strike,1925,Sergei Eisenstein,"['Maksim Shtraukh', 'Grigori Aleksandrov', 'Mikhail Gomorov', 'Ivan Klyukvin', 'Aleksandr Antonov', 'Vladimir Uralskiy', 'Anatoliy Kuznetsov', 'I. Ivanov', 'Yudif Glizer', 'Vera Yanukova', 'M. Mamin', 'Boris Yurtsev', 'Danylo Antonovych']",3.88,nan,['Drama'],89,['USSR'],No spoken language,['No spoken language'],"['Proletkult', 'Gosfilmfond Russia']",28284,17422,6210,55,75,117,120,430,556,1951,2771,5146,2157,2175,15498,https://letterboxd.com/film/strike/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Gold Rush,1925,Charlie Chaplin,"['Charlie Chaplin', 'Georgia Hale', 'Mack Swain', 'Tom Murray', 'Henry Bergman', 'Malcolm Waite', 'Harry Arras', 'James Dime', 'Charles Force', 'J. C. Fowler', 'Ray Grey', 'William Hackett', 'Jack Herrick', 'George Holt', 'Chris-Pin Martin', 'Clyde McAtee', 'Steve Murphy', 'Frank Rice', 'Joe Smith', 'John Wallace', 'Albert Austin', 'Heinie Conklin', 'Al Ernest Garcia', 'John Rand', 'Tom Wood', 'Kay Deslys', 'Joan Lowell', 'Betty Morrissey', 'Inez Gomez', 'Helen Hayward', 'Betty Pierce', 'Jane Sherman', 'Bess Wade', 'Mary Williams', 'Sid Grauman', 'Lita Grey', 'Margarita Martín', 'Barbara Pierce', 'Tiny Sandford', 'Larry Steers', 'Lillian McMurray']",4.13,nan,"['Drama', 'Adventure', 'Comedy']",95,['USA'],English,"['English', 'No spoken language']",['Charles Chaplin Productions'],109807,44439,27055,192,73,100,151,715,1121,5838,9647,21568,10258,11766,61237,https://letterboxd.com/film/the-gold-rush/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Big Parade,1925,King Vidor,"['John Gilbert', 'Renée Adorée', 'Hobart Bosworth', 'Claire McDowell', 'Claire Adams', 'Robert Ober', ""Tom O'Brien"", 'Karl Dane', 'Rosita Marstini', 'Julanne Johnston', 'Kathleen Key', 'Carl Roup']",3.92,nan,"['Drama', 'War', 'Romance']",151,['USA'],No spoken language,['No spoken language'],['Metro-Goldwyn-Mayer'],7283,9199,1655,20,12,19,27,92,126,501,782,1308,731,604,4202,https://letterboxd.com/film/the-big-parade/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Eagle,1925,Clarence Brown,"['Rudolph Valentino', 'Vilma Banky', 'Louise Dresser', 'Albert Conti', 'James A. Marcus', 'George Nichols', 'Carrie Clark Ward', 'Spottiswoode Aitken', 'Agostino Borgato', 'Gustav von Seyffertitz', 'Russell Simpson', 'Otto Hoffman', 'Jean De Briac', 'Mario Carillo', 'Eric Mayne', 'Mack Swain', 'Gary Cooper']",3.21,nan,"['Romance', 'Drama', 'Adventure']",73,['USA'],No spoken language,['No spoken language'],"['Art Finance Corporation', 'United Artists']",2561,3764,302,2,12,22,31,129,228,541,321,168,27,41,1520,https://letterboxd.com/film/the-eagle-1925/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
Battleship Potemkin,1925,Sergei Eisenstein,"['Aleksandr Antonov', 'Vladimir Barsky', 'Grigori Aleksandrov', 'Ivan Bobrov', 'Mikhail Gomorov', 'Aleksandr Levshin', 'Nina Poltavtseva', 'Konstantin Feldman', 'Prokhorenko', 'A. Glauberman', 'Beatrice Vitoldi', 'Danylo Antonovych', 'Iona Biy-Brodskiy', 'Julia Eisenstein', 'Sergei Eisenstein', 'Andrey Fayt', 'Yuriy Korobeynikov', 'Marusov', 'Protopopov', 'Repnikova', 'Vladimir Uralskiy', 'Zerenin', 'Aleksanteri Ahola-Valo']",4,nan,"['History', 'War', 'Drama']",75,['USSR'],No spoken language,['No spoken language'],"['Mosfilm', 'Goskino USSR']",143109,49137,28969,289,235,545,449,1818,2356,9484,11609,23780,10178,14169,74623,https://letterboxd.com/film/battleship-potemkin/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The Adventures of Prince Achmed,1926,Lotte Reiniger,['Dana Dempsey'],3.96,nan,"['Fantasy', 'Animation', 'Adventure', 'Family', 'Romance']",66,['Germany'],No spoken language,['No spoken language'],['Comenius-Film GmbH'],21810,18291,6032,36,12,31,42,184,342,1514,2396,4605,1841,1842,12809,https://letterboxd.com/film/the-adventures-of-prince-achmed/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
The General,1926,"Buster Keaton, Clyde Bruckman","['Buster Keaton', 'Marion Mack', 'Glen Cavender', 'Jim Farley', 'Frederick Vroom', 'Charles Henry Smith', 'Joe Keaton', 'Al St. John', 'Frank Barnes', 'Mike Donlin', 'Tom Nawn', 'Jimmy Bryant', 'Budd Fine', 'Ray Hanford', 'Charles Phillips', 'Eddie Foster', 'Frank Hagney', 'Jack Hanlon', 'Edward Hearn', 'Hilliard Karr', 'Louis Lewyn', 'Elgin Lessley']",4.2,3,"['Romance', 'Comedy', 'Action', 'Adventure', 'War']",79,"['USA', 'UK']",English,"['English', 'No spoken language']","['Joseph M. Schenck Productions', 'Buster Keaton Productions']",116687,53239,31982,421,98,210,209,915,1435,5945,9402,22805,12520,16337,69876,https://letterboxd.com/film/the-general/,https://letterboxd.com/peterstanley/list/1001-movies-you-must-see-before-you-die/
